,Job Title,Company,Location,Requirements,Years of Experience,Tags,Link
203,Data Science & BI Lead,Talent Et Au-dela,Multiple,Create a positive experience around change by Implementing and managing change plans in...,9-12 Yrs," BI Lead, Data analysis, Change management, data science, Process improvement, Analytical, Business intelligence, Stakeholder management",https://www.naukri.com/job-listings-data-science-bi-lead-talent-et-au-dela-mumbai-pune-9-to-12-years-091122501923
204,Data Science,Xome,Chennai,"Collaborate with stakeholders, business unit product owners, development teams to under...",4-9 Yrs," Data analysis, tableau, data science, Diversity and Inclusion, Cloud, Relationship, Programming, Information technology",https://www.naukri.com/job-listings-data-science-xome-chennai-4-to-9-years-080922501631
205,Data Science,Mr Cooper,Chennai,"Collaborate with stakeholders, business unit product owners, development teams to under...",4-9 Yrs," Data analysis, tableau, data science, Diversity and Inclusion, Cloud, Relationship, Programming, Information technology",https://www.naukri.com/job-listings-data-science-mr-cooper-chennai-4-to-9-years-080922500758
206,Data Science Manager,Consilium Software,New Delhi,You should be a team player with a keen eye for detail and problem-solving skillsOne sh...,4-7 Yrs," software architecture, machine learning, Python, NLU, analysis, NLP, Java, data structures",https://www.naukri.com/job-listings-data-science-manager-consilium-software-pvt-ltd-new-delhi-4-to-7-years-060522500440
207,Data Science Engineer - Machine/Deep Learning Models - R/Python/Scala,CarbyneTech India,Hyderabad,- Experience in research and development. Conference papers at reputed AI/ML platforms ...,4-8 Yrs," Machine Learning, Data Science, Tensorflow, R, Artificial Intelligence, Scala, Time Series Forecasting, Big Data",https://www.naukri.com/job-listings-data-science-engineer-machine-deep-learning-models-r-python-scala-carbynetech-india-hyderabad-secunderabad-4-to-8-years-091122915753
208,Lead Data Science Engineer - Python/ Neural Networks,Huquo Consulting Pvt. Ltd,Gurgaon,Preferred - Knowledge of Insurance industry At least 2-year deep and hands-on experienc...,4-9 Yrs," data science, Neural Networks, Python, NLP, Spark, Algorithm, Machine Learning, data engineering",https://www.naukri.com/job-listings-lead-data-science-engineer-python-neural-networks-huquo-consulting-pvt-ltd-gurgaon-gurugram-4-to-9-years-011122909104
209,Lead Data Science Engineer - Python/ Neural Networks,Huquo Consulting Pvt. Ltd,Gurgaon,Preferred - Knowledge of Insurance industry At least 2-year deep and hands-on experienc...,10-15 Yrs," Data Science, NLP, Neural Networks, Spark, Algorithm, Machine Learning, Deep Learning, Python",https://www.naukri.com/job-listings-lead-data-science-engineer-python-neural-networks-huquo-consulting-pvt-ltd-gurgaon-gurugram-10-to-15-years-011122909024
210,Manager - Data Science - Insurance Analytics,Huquo Consulting Pvt. Ltd,Gurgaon,"Bachelors / Masters degree in economics, mathematics, computer science / engineering, o...",5-9 Yrs," Power BI, SAS, problem solving, Tableau, SQL, communication skills",https://www.naukri.com/job-listings-manager-data-science-insurance-analytics-huquo-consulting-pvt-ltd-gurgaon-gurugram-5-to-9-years-091122913418
211,Delivery Head - Data Science & Business Intelligence Projects,Huquo Consulting Pvt. Ltd,Gurgaon,Experience in conceptualizing and building data extraction solutions for extracting dat...,15-25 Yrs," Data Science, Business Intelligence, R, MATLAB, Python, Data Management, Data Visualization, SQL",https://www.naukri.com/job-listings-delivery-head-data-science-business-intelligence-projects-huquo-consulting-pvt-ltd-gurgaon-gurugram-15-to-25-years-011122907664
212,Associate Vice President - Data Science - KPO,Huquo Consulting Pvt. Ltd,Gurgaon,Role & Responsibilities Overview :- Expected to work in close collaboration with the Cl...,7-12 Yrs," Data Science, Data analysis, data modeling, predictive modeling, model development, Python",https://www.naukri.com/job-listings-associate-vice-president-data-science-kpo-huquo-consulting-pvt-ltd-gurgaon-gurugram-7-to-12-years-071122904641
213,Data Science Manager,Sigma Allied Services private Limited   ,Hybrid,Masters / Bachelor s degree in Computer Science or equivalent/ Statistics/ Data Science...,10-12 Yrs," python, data science, machine learning, Computer Vision, Analytics Architecture, Deep Learning, IoT, Excel",https://www.naukri.com/job-listings-data-science-manager-sigma-allied-services-private-limited-kolkata-10-to-12-years-191022607538
214,Data Analyst - CRM Platform,Artech infosystem,Multiple,Bachelors degree or equivalent 1-2 years experience in data analytics Prior programming...,1-6 Yrs," CRM, analytical, data analytics, Salesforce, communication, Advanced SQL, Excel, SQL",https://www.naukri.com/job-listings-data-analyst-crm-platform-artech-infosystem-kolkata-mumbai-hyderabad-secunderabad-pune-chennai-ahmedabad-bangalore-bengaluru-delhi-ncr-1-to-6-years-301122910473
215,Data Scientist,Deutsche Bank,Hybrid,Job Title: Data Scientist / Data Analyst - AVPLocation: Bangalore Role Description The ...,10-15 Yrs," Six Sigma Black Belt, Data Analytics, SQL, Data Science, Celonis, Data Analysis, Data Mining, Python",https://www.naukri.com/job-listings-data-scientist-deutsche-bank-bangalore-bengaluru-10-to-15-years-281122001753
216,Intern – Computer Science/ Data Analyst,Pratham,Gurgaon,"First year graduate or 3rd year undergraduate in Software / Electrical Engineering, Com...",0-1 Yrs," Computer science, Electrical engineering, Data validation, Senior management, Analytical, Data collection, Internship, Recruitment",https://www.naukri.com/job-listings-intern-computer-science-data-analyst-pratham-edusys-pvt-ltd-gurgaon-gurugram-0-to-1-years-111022500594
217,MNC hiring For Data scientist/ Data science professional,LIVE CONNECTIONS PLACEMENTS PRIVATE LIMITED ,Multiple,"Masters degree required in Applied Mathematics, Computer Science/Informatics/Statistics...",10-12 Yrs," Machine Learning, R Program, artificial intelligence, R Programming, natural language processing, IT Skills, Data Science",https://www.naukri.com/job-listings-mnc-hiring-for-data-scientist-data-science-professional-live-connections-placements-private-limited-hyderabad-secunderabad-pune-gurgaon-gurugram-chennai-bangalore-bengaluru-mumbai-all-areas-10-to-12-years-091122006502
218,Data Science Consultant,Jobstv India,Multiple,"Image processing & Signal processing Image Segmentation, Object & Pattern Recognition, ...",5-10 Yrs," Image Segmentation, Object & Pattern Recognition, Image processing & Signal processing, Cluster Analysis, Morphology & Camera Calibration, MATLAB, Morphology, C",https://www.naukri.com/job-listings-data-science-consultant-jobstv-india-hyderabad-secunderabad-pune-bangalore-bengaluru-5-to-10-years-231122013055
219,Data Science Lead,Dr Reddys,Hyderabad,Good understanding of Digital analytics,2-5 Yrs," Computer science, advanced analytics, digital analytics, Prototype, Simulation, Machine learning, Agile, Operations",https://www.naukri.com/job-listings-data-science-lead-dr-reddys-laboratories-ltd-hyderabad-secunderabad-2-to-5-years-100622500306
220,Data Science Manager,Isha Foundation,Coimbatore,Prepare a summary of results for in-house discussion and take feedback whenever / where...,5-7 Yrs," Data analysis, SAS SQL, Analytical, Business Economics, Machine learning, power bi, model development, Predictive modeling",https://www.naukri.com/job-listings-data-science-manager-isha-foundation-coimbatore-5-to-7-years-080822500554
221,Data Analyst & Business Analyst,Infoweb,Pune,"Advanced in Excel, POWER BI, Vlookup, Hlookup, Pivot table, ETC Research and analyse da...",0-2 Yrs," Data Science, Python Data, Data Analytics, SQL, Pivot table, Written communication, POWER BI, Vlookup",https://www.naukri.com/job-listings-data-analyst-business-analyst-infoweb-pune-0-to-2-years-221122006975
222,Strategy Analyst- Data Analytics,Barclays,Noida,Introduction: Generates actionable insights for BUK from enormous amounts of data throu...,2-7 Yrs," sas, Strategy Formulation, Business Optimization, Data Analytics, SQL, python, data science, Statistical Modeling",https://www.naukri.com/job-listings-strategy-analyst-data-analytics-barclays-noida-2-to-7-years-090922005849
223,Sr. Data Scientist,Acme Hr Consulting,Bangalore,The Senior Data Scientist oversees the activities of the junior data scientists and pro...,0-6 Yrs," data science, Analytics",https://www.naukri.com/job-listings-sr-data-scientist-acme-hr-consulting-bangalore-bengaluru-0-to-6-years-301122503258
224,Data Scientist and Senior Data Scientist,3i Infotech,Chennai,Job title: Data Scientist | Preferred job location: Chennai Total experience: 5+ years ...,5-10 Yrs," Data Science, Data Scientist, Python, PowerBI, Flask, Seaborn, OLTP, Tableau",https://www.naukri.com/job-listings-data-scientist-and-senior-data-scientist-3i-infotech-limited-chennai-5-to-10-years-021122005365
225,Trainee -Data Engineer,Pacific Data Integrators,Temp. WFH,"Work from Home We are also a proud reseller of Informatica and Snowflake, SecuPI produc...",0-2 Yrs," Communication Skills, Programming, Data Science, Data Analytics, SQL",https://www.naukri.com/job-listings-trainee-data-engineer-pacific-data-integrators-delhi-ncr-0-to-2-years-100322010181
226,Immediate Opportunity For Data Analyst / Business Intelligence,J&F Projects India,Multiple,Must be data-driven with strong problem solving and analytical skills Bachelor s degree...,2-6 Yrs," sql, Tableau, communication, analytical, Kimball methodology, Python, R, Business Intelligence",https://www.naukri.com/job-listings-immediate-opportunity-for-data-analyst-business-intelligence-j-f-projects-india-chennai-bangalore-bengaluru-2-to-6-years-281122010069
227,Urgent Requirement || Senior Data Scientist || Remote Location,INK IT Solutions And Consulting,ANY,"Experience ( Relevant) 5+ Years Top 3 skills which is mandatory Python, AI/ML Azure ML,...",6-10 Yrs," Aiml, Data Analytics, AI, ML Azure ML, Python, Data Science, Azure, Artificial Intelligence",https://www.naukri.com/job-listings-urgent-requirement-senior-data-scientist-remote-location-ink-it-solutions-and-consulting-any-6-to-10-years-011222010621
228,Manager - Data Analytics with African MNC at Lagos Nigeria,African Industries,Multiple,Education - BTech (TIER 1 Colleges only) + PG - Analytics / MBA / MTech minimum 2 years...,0-5 Yrs," python, data analytics, data science, statistical modeling, sql, power bi",https://www.naukri.com/job-listings-manager-data-analytics-with-african-mnc-at-lagos-nigeria-african-industries-group-lagos-nigeria-africa-0-to-5-years-261122007511
229,Principal Engineer Data Science II AI models II Machine Learning,People Resources    ,Bangalore,8+ Years experience in developing AI models,8-13 Yrs," Data Processing, Machine Learning, database programming, Java, ETL, R, Python, Tableau",https://www.naukri.com/job-listings-principal-engineer-data-science-ii-ai-models-ii-machine-learning-people-resources-bangalore-bengaluru-8-to-13-years-161122009667
230,Data Science Machine Learning,LIVE CONNECTIONS ,Bangalore,Data Science Machine Learning:Bangalore Must be expertise in the areas of Data Analysis...,4-6 Yrs," Data Science, Machine learning, Python, SQL, Data Analysis",https://www.naukri.com/job-listings-data-science-machine-learning-live-connections-bangalore-bengaluru-4-to-6-years-141122002440
231,Data Scientist - Analytics,Huquo Consulting Pvt. Ltd,Multiple,DATA SCIENTISTS - Understand data and different platforms used by client- Translate bus...,7-12 Yrs," Data Modeling, Data Science, Predictive Modeling, Data Scientist, Data Management, ML solutions, Statistical Modeling, Data Analytics",https://www.naukri.com/job-listings-data-scientist-analytics-huquo-consulting-pvt-ltd-gurgaon-gurugram-bangalore-bengaluru-7-to-12-years-281122904133
232,Data Scientist - KPO,Huquo Consulting,Gurgaon,"Experience of using machine learning techniques like deep learning, ensemble models, cl...",4-7 Yrs," Data Science, Data Management, Data Analytics, SQL, Python, Data Modeling",https://www.naukri.com/job-listings-data-scientist-kpo-huquo-consulting-gurgaon-gurugram-4-to-7-years-301122906549
233,Data Scientist - Predictive Analytics,Virtue Sources LLP,Bangalore,Shift Timing : Afternoon or Evening Shift 2+ years of relevant experience in applying p...,2-5 Yrs," Python, Data Science, R, Data Scientist, Artificial Intelligence, Machine Learning, Algorithm, Predictive Analytics",https://www.naukri.com/job-listings-data-scientist-predictive-analytics-virtue-sources-llp-bangalore-bengaluru-2-to-5-years-291122912960
234,Data Scientist - KPO,Huquo Consulting Pvt. Ltd,Gurgaon,Should be able to work on a problem independently and prepare client ready deliverable ...,4-9 Yrs," Data Science, Data Management, Data Modeling, Data Analytics, Analytics, Machine Learning, SQL, Python",https://www.naukri.com/job-listings-data-scientist-kpo-huquo-consulting-pvt-ltd-gurgaon-gurugram-4-to-9-years-301122906534
